Category; Words
A;компания, уровень, оценка, агентство, присвоение, платежи, прогноз, данные, нагрузка, высокая, рамки, выручка, обязательства, объём, рынок, рентабельность, ликвидность
AA;контейнерные, электропотребление, резюме, электросетевой, федеральное, выделяемые, социальноэкономический, терминалы, стивидорный, бассейн, соискатели, вакансии, подстанции, контейнеры, следование, онлайнрекрутмент, унцию, доверительное, скоростные, полезное
AAA;государство, эмиссия, серия, нефть, документарные, предъявитель, электроэнергия, углеводороды, корпорация, нефтепродукты, централизованный, системная, совместные, атомная, добыча, значимость, монополия, тарифы, паритет
B;агрофирма, орехи, курорт, нефтетрейдеры, снэки, отель, сухофрукты, посёлок, лифтовый, нерепрезентативность, оформленная, ломбарды, отельный, автоперевозки, неофициально, кондитерские, высококонкурентный, цукаты, фрагментарность, мелкий
BB;вагоны, растения, закупки, учебные, клиенты, пропантовый, растениеводство, обучение, оптовая, сельскохозяйственная, мясной, операторы, сельскохозяйственные, противотурбулентные, семена, посевные, отсрочка, руководство, автошколы, нефтедобыча
BBB;недвижимость, коммерческая, операторы, одежда, заправка, платформы, контейнерные, трамвайная, мужская, фитинговые, тепло, плитка, авиакеросин, жилая, бизнесцентр, нефтегазовое, онлайнкинотеатры, сервис, городская, комбинированная
C;неисполненное, неконвертируемый, документарный, регистрационный, перечислившие, идентификации, неисполненные, признающийся, наложившая, номинальная, пониженный, полиэтилентерефталат, одиннадцатый, изучающие, наступивший, времяРанее, побережье, оговорки, организационные, дефолт, паркинг



